model_id,task_id,contrast,metric,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
glm-4-9b-chat,story_generation,3-0,dual_llm_weighted_total,24,24,62.92187500000001,59.99375000000001,2.9281249999999925,-0.2064062499999968,6.1198437500000065,0.09629037096290372,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
glm-4-9b-chat,rewriting,1-0,dual_llm_weighted_total,24,24,68.87499999999999,64.05833333333334,4.816666666666647,1.5206250000000154,7.76671875000001,0.0098990100989901,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.1880811918808119,False,22,generation_rewriting_22
glm-4-9b-chat,rewriting,3-0,dual_llm_weighted_total,24,24,70.23125000000002,64.05833333333334,6.172916666666673,3.6477604166666837,8.689635416666661,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_rewriting_22
glm-4-9b-chat,continuation,1-0,dual_llm_weighted_total,24,24,69.79895833333333,61.76666666666667,8.03229166666667,4.567578124999998,11.678151041666672,0.00039996000399960006,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0023997600239976003,True,22,generation_continuation_22
glm-4-9b-chat,continuation,3-0,dual_llm_weighted_total,24,24,76.36770833333335,61.76666666666667,14.601041666666681,12.184348958333334,17.057291666666664,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
internlm2_5-7b-chat,story_generation,1-0,dual_llm_weighted_total,24,24,60.21354166666667,66.46979166666667,-6.256249999999996,-9.710625000000011,-3.281145833333337,0.00029997000299970003,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.006299370062993701,True,22,generation_story_generation_22
internlm2_5-7b-chat,story_generation,3-0,dual_llm_weighted_total,24,24,57.76979166666667,66.46979166666667,-8.699999999999996,-14.744895833333334,-2.997786458333346,0.007899210078992101,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.14038596140385962,False,22,generation_story_generation_22
internlm2_5-7b-chat,rewriting,1-0,dual_llm_weighted_total,24,24,65.45208333333333,64.92916666666665,0.522916666666684,-2.602239583333338,3.5563020833333376,0.7559244075592441,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
internlm2_5-7b-chat,rewriting,3-0,dual_llm_weighted_total,24,24,67.83124999999998,64.92916666666665,2.9020833333333274,-1.2313020833333392,7.183385416666662,0.2034796520347965,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
internlm2_5-7b-chat,continuation,1-0,dual_llm_weighted_total,24,24,71.46979166666668,53.30937499999999,18.16041666666669,14.48953125,21.786458333333325,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
internlm2_5-7b-chat,continuation,3-0,dual_llm_weighted_total,24,24,74.771875,53.30937499999999,21.462499999999995,16.658203125,25.52513020833334,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
