model_id,task_id,contrast,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,p_holm,significant_holm_0_05,holm_family_size
Doubao,classification,1-0,COMPUTED,100,100,86.0,82.0,4.0000000000000036,0.0,8.999999999999996,0.21547845215478453,10000,1.0,False,120
Doubao,classification,3-0,COMPUTED,100,100,86.0,82.0,4.0000000000000036,0.0,8.999999999999996,0.22397760223977603,10000,1.0,False,120
Doubao,reasoning,1-0,COMPUTED,100,100,97.0,98.0,-1.0000000000000009,-4.0000000000000036,2.0000000000000018,1.0,10000,1.0,False,120
Doubao,reasoning,3-0,COMPUTED,100,100,98.0,98.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,10000,1.0,False,120
Doubao,structuring,1-0,COMPUTED,100,100,79.2101817384964,78.5065919397823,0.7035897987140993,-1.4990659907364359,2.882881386319913,0.5156484351564844,10000,1.0,False,120
Doubao,structuring,3-0,COMPUTED,100,100,80.383867231026,78.5065919397823,1.8772752912437074,0.6549736594084974,3.7143010196849997,0.00039996000399960006,10000,0.03599640035996401,True,120
Doubao,relationship,1-0,COMPUTED,50,50,96.43652561247215,92.42761692650335,4.008908685968815,1.0649061395497343,8.66510538641686,0.0072992700729927005,10000,0.5912408759124087,False,120
Doubao,relationship,3-0,COMPUTED,50,50,97.88182831661094,92.42761692650335,5.454211390107588,2.1026026249702534,10.199004975124371,0.00039996000399960006,10000,0.03599640035996401,True,120
Doubao,qa_v4_5,1-0,COMPUTED,100,50,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.5005499450054994,10000,1.0,False,120
Doubao,qa_v4_5,3-0,COMPUTED,100,50,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.5066493350664933,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,classification,1-0,COMPUTED,100,100,53.0,69.0,-15.999999999999993,-26.999999999999996,-5.000000000000004,0.0057994200579942,10000,0.47555244475552444,False,120
DeepSeek-R1-Distill-Qwen-32B,classification,3-0,COMPUTED,100,100,52.0,69.0,-16.999999999999993,-29.000000000000004,-5.000000000000004,0.012098790120987902,10000,0.9316068393160685,False,120
DeepSeek-R1-Distill-Qwen-32B,reasoning,1-0,COMPUTED,100,100,98.0,99.0,-1.0000000000000009,-4.0000000000000036,2.0000000000000018,1.0,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,reasoning,3-0,COMPUTED,100,100,100.0,99.0,1.0000000000000009,0.0,3.0000000000000027,1.0,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,structuring,1-0,COMPUTED,100,100,75.67075080146864,65.666620736804,10.00413006466464,3.7509498410327677,16.4607694823698,0.0023997600239976003,10000,0.203979602039796,False,120
DeepSeek-R1-Distill-Qwen-32B,structuring,3-0,COMPUTED,100,100,75.80945167715436,65.666620736804,10.142830940350356,2.793998595135244,17.449220263252013,0.009499050094990502,10000,0.7504249575042496,False,120
DeepSeek-R1-Distill-Qwen-32B,relationship,1-0,COMPUTED,50,50,97.32620320855615,91.38920780711825,5.936995401437894,0.22498544823109085,12.21364212517677,0.0494950504949505,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,relationship,3-0,COMPUTED,50,50,97.19222462203024,91.38920780711825,5.8030168149119765,0.7405917262173768,11.444508772518128,0.029797020297970205,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,1-0,COMPUTED,100,50,87.0,90.0,-3.0000000000000027,-9.000000000000007,3.0000000000000027,0.5091490850914908,10000,1.0,False,120
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,3-0,COMPUTED,100,50,89.0,90.0,-1.0000000000000009,-7.000000000000006,5.000000000000004,1.0,10000,1.0,False,120
